epoch,train_loss,val_loss,dice_WT,dice_TC,dice_ET,dice_mean,hd95_WT,hd95_TC,hd95_ET,hd95_mean,learning_rate,epoch_time_s,data_wait_s,gpu_step_s,validation_s,samples_per_s,peak_vram_gb,gpu_allocated_gb,gpu_reserved_gb,gpu_temp_c,gpu_util_pct,gpu_sm_clock_mhz,gpu_power_w,gpu_mem_used_mb,gpu_mem_total_mb
1,0.8647661805152893,0.7604823354128245,0.5817065305403761,0.4765077890085711,0.4876711228639467,0.5152951474709647,49.51373569340117,52.18145859879667,46.34115755636038,49.34545061618607,9.999725846827562e-05,216.6990971,3.015400099999866,90.5557578125,123.1412254,3.1526808749749575,15.263687133789062,0.21278667449951172,19.34765625,73.0,99.0,2805.0,425.67,22735.0,32607.0
2,0.6850590109825134,0.6484446138949007,0.5461594544955202,0.44800904665041613,0.5257216434996524,0.5066300482151962,50.77469533497944,57.31101137961571,34.69179214427535,47.5924996196235,9.998903417374228e-05,209.00468359999996,0.3083803999999759,87.0491328125,121.6232372,3.376927629366039,15.263687133789062,0.21278667449951172,19.34765625,73.0,99.0,2797.0,420.86,22778.0,32607.0
3,0.5791200995445251,0.5683933206506677,0.5581368536159799,0.45162666317176176,0.529550845887485,0.5131047875584089,50.616685548935905,53.93100403856691,27.758049893520656,44.101913160341155,9.997532801828658e-05,206.12133810000006,0.21036470000018426,85.2429765625,120.6450542,3.452176306293315,15.263687133789062,0.21278667449951172,19.34765625,74.0,99.0,2790.0,428.8,22580.0,32607.0
4,0.5015403628349304,0.5090243921086595,0.6668256468869544,0.4986006275222108,0.4975126708588387,0.5543129817560013,33.71869773822799,44.14004574789245,33.95682860691609,37.27185736434551,9.995614150494293e-05,206.00310590000004,0.21554620000051727,85.3420703125,120.35027960000002,3.447968889559921,15.263687133789062,0.21278667449951172,19.34765625,73.0,99.0,2790.0,401.41,22375.0,32607.0
5,0.4352719485759735,0.43828586791012736,0.7127352944902472,0.5565388979944023,0.557503669501564,0.6089259539954045,20.599080982015455,29.188145434647982,20.24051368540483,23.342580034022756,9.99314767377287e-05,206.98063650000006,0.23517590000051314,86.347296875,120.32341310000004,3.4071560968997545,15.263687133789062,0.21278667449951172,19.34765625,78.0,99.0,2797.0,394.55,22375.0,32607.0
6,0.3626101016998291,0.3693893527662432,0.767280395772006,0.6162445365979865,0.6032531946371276,0.66225937566904,23.15740732449375,27.762353878312684,17.95233545393617,22.957365552247534,9.990133642141359e-05,208.1533184,0.2879291999981888,87.545921875,120.3060501,3.3586139784319604,15.263687133789062,0.21278667449951172,19.34765625,75.0,96.0,2790.0,408.82,22375.0,32607.0
7,0.28584837913513184,0.3067920844297151,0.8093475191979795,0.6746731106493924,0.6273965517255837,0.7038057271909852,15.807213532289328,17.792185271852983,12.91785094983718,15.505749917993164,9.986572386122291e-05,207.40261809999993,0.25970210000150473,85.823453125,121.01556610000011,3.4269189974384426,15.263687133789062,0.21278667449951172,19.34765625,69.0,0.0,2812.0,347.62,22311.0,32607.0
8,0.22820760309696198,0.2796655222773552,0.7944279925243275,0.6385495034424035,0.6236346595366745,0.6855373851678018,20.109840301087633,23.695476104844587,12.991177175843934,18.932164527258717,9.982464296247522e-05,205.56997180000008,0.18239500000095177,85.06715625,120.27595680000013,3.460428772638222,15.263687133789062,0.21278667449951172,19.34765625,76.0,99.0,2790.0,436.42,22311.0,32607.0
9,0.17852342128753662,0.24967067487336495,0.8324180382329065,0.6917064677219134,0.6515451132847427,0.7252232064131876,12.376781362254832,14.999415716220705,7.529610935933209,11.635269338136247,9.9778098230154e-05,207.2079521999999,0.2282532000010633,86.3824296875,120.51080969999998,3.4060463463055317,15.263687133789062,0.21278667449951172,19.34765625,76.0,99.0,2790.0,432.02,22311.0,32607.0
10,0.15691113471984863,0.23408242113686897,0.8376769834273571,0.6958015275162619,0.6654016334857855,0.7329600481431348,7.437861947042765,10.284982394784024,6.5223917007696555,8.081745347532149,9.972609476841367e-05,207.10756490000017,0.18299369999749615,86.4959765625,120.29241589999992,3.4033629968910075,15.263687133789062,0.21278667449951172,19.34765625,76.0,99.0,2790.0,393.87,22325.0,32607.0
