epoch,train_loss,val_loss,dice_WT,dice_TC,dice_ET,dice_mean,hd95_WT,hd95_TC,hd95_ET,hd95_mean,learning_rate,epoch_time_s,data_wait_s,gpu_step_s,validation_s,samples_per_s,peak_vram_gb,gpu_allocated_gb,gpu_reserved_gb,gpu_temp_c,gpu_util_pct,gpu_sm_clock_mhz,gpu_power_w,gpu_mem_used_mb,gpu_mem_total_mb
1,0.29560333490371704,0.23754671558335022,0.8502060464910559,0.7054251839457195,0.580179351024634,0.7119368604871364,10.071564960721373,14.021433746417898,10.666865659074245,11.586621455404506,9.999725846827562e-05,357.32971089999955,2.5145623999924283,342.1469375,12.555526800000735,0.8559122503836307,23.73956537246704,0.2721719741821289,17.00390625,68.0,100.0,2850.0,298.65,21163.0,32607.0
2,0.21942512691020966,0.1940888631585482,0.867733807177157,0.7480671514807384,0.6487064461369095,0.7548358015982682,10.28575719854066,12.363246530658754,9.632126393134087,10.7603767074445,9.998903417374228e-05,336.74359689999983,0.3761039000037272,332.20034375,4.097442499998579,0.8870141048305731,23.73956537246704,0.2732706069946289,17.20703125,68.0,100.0,2850.0,291.74,20431.0,32607.0
3,0.20158632099628448,0.1913323606792334,0.8607688997242902,0.7538861725252891,0.6362110202975745,0.7502886975157179,9.727938505819322,7.205632929644281,4.987644502961999,7.307071979475201,9.997532801828658e-05,338.3541466000006,0.4029106999732903,331.67990625,6.369782699999632,0.8883326234986749,23.73956537246704,0.2732706069946289,17.20703125,68.0,100.0,2850.0,280.49,20431.0,32607.0
4,0.18880107998847961,0.1844574432518031,0.8631078391619978,0.7316853182818303,0.6609952492309403,0.7519294688915895,6.004665789175278,6.333082583910157,5.7180568016914135,6.018601724925617,9.995614150494293e-05,335.7581665000016,0.35318039999219764,331.82940625,3.646038699998826,0.8880658163783581,23.73956537246704,0.2732706069946289,17.20703125,66.0,100.0,2850.0,283.55,20352.0,32607.0
5,0.17929388582706451,0.17475398619835442,0.8702030681433254,0.7802029522161089,0.6963086992674001,0.7822382398756115,5.427980694268196,6.347441756658022,4.575267218288679,5.450229889738299,9.99314767377287e-05,337.2206946999995,0.38691569999537023,331.40615625,5.20288790000086,0.8891083779002461,23.73956537246704,0.2732706069946289,17.20703125,67.0,100.0,2850.0,285.36,20352.0,32607.0
6,0.17391465604305267,0.17971447855234146,0.8633089379684346,0.754904955228467,0.680078014318559,0.7660973025051536,10.72918165521691,15.067192834504379,11.317626986827193,12.37133382551616,9.990133642141359e-05,335.9414675000007,0.4758413000017754,331.23990625,4.318857299998854,0.8893156329743817,23.73956537246704,0.2732706069946289,17.20703125,67.0,98.0,2850.0,290.03,20377.0,32607.0
7,0.17047399282455444,0.19055256972441803,0.839787688625538,0.7069260252508379,0.7154594512634933,0.7540577217132897,6.4892721557925555,6.536137890918297,2.9939772840812804,5.339795776930711,9.986572386122291e-05,335.5260509,0.2950276999963535,331.54928125,3.707723799998348,0.8889710989271533,23.73956537246704,0.2721719741821289,17.20703125,66.0,100.0,2850.0,289.68,20377.0,32607.0
8,0.17002956569194794,0.17728002802342982,0.8829889506907076,0.7509504896723982,0.7042230827858266,0.7793875077163107,8.465651553476402,8.756111342619683,5.697925051716314,7.639895982604133,9.982464296247522e-05,337.2831876,0.35848180001084984,331.81559375,5.156992199999877,0.8880885707638131,23.73956537246704,0.2724771499633789,17.21484375,66.0,100.0,2850.0,288.56,20385.0,32607.0
9,0.16529640555381775,0.17515266716882988,0.8715906449424603,0.7669126849294378,0.6801520480855732,0.7728851259858237,9.454333926714364,12.575850624280426,8.733092284831164,10.254425611941985,9.9778098230154e-05,335.6975849999999,0.4082469000150013,331.3491875,4.036407800000234,0.8892038863680899,23.73956537246704,0.2721719741821289,17.205078125,66.0,100.0,2850.0,283.8,20375.0,32607.0
10,0.1611705869436264,0.17743979082316966,0.8718958311947965,0.7379281706496119,0.6763749657784189,0.7620663225409424,5.0251467531251555,7.415017764075454,3.5432775765235545,5.327814031241388,9.972609476841367e-05,337.4992170000005,0.35032639999189996,331.486625,5.6780682999997225,0.88899080935809,23.73956537246704,0.2721719741821289,17.205078125,66.0,94.0,2850.0,276.01,20375.0,32607.0
