epoch,train_loss,val_loss,dice_WT,dice_TC,dice_ET,dice_mean,hd95_WT,hd95_TC,hd95_ET,hd95_mean,learning_rate,epoch_time_s,data_wait_s,gpu_step_s,validation_s,samples_per_s,peak_vram_gb,gpu_allocated_gb,gpu_reserved_gb,gpu_temp_c,gpu_util_pct,gpu_sm_clock_mhz,gpu_power_w,gpu_mem_used_mb,gpu_mem_total_mb
1,0.5424586534500122,0.411772958330206,0.7696619831226967,0.5801517524429269,0.3530744804934837,0.5676294053530359,10.953483588254144,17.40427642335941,20.00238818896458,16.120049400192713,9.999725846827562e-05,403.0362607999996,2.2736884000041755,388.68359375,11.387142899999162,0.7545581409244939,16.923470497131348,0.3787412643432617,20.0546875,68.0,99.0,2850.0,297.04,23237.0,32607.0
2,0.4134139120578766,0.40629329391427943,0.7605533998560261,7.802497100167763e-05,0.05414029448065873,0.2715905731025621,11.519852899801576,56.986701854132164,47.85759195275668,38.78804890223014,9.998903417374228e-05,391.40762579999864,0.5028212000070198,385.047625,5.883730300000025,0.7651398225771128,16.923470497131348,0.3780088424682617,20.328125,70.0,99.0,2850.0,315.83,23360.0,32607.0
3,0.39499637484550476,0.36637132876628153,0.7781566306696953,5.945744234796607e-10,0.08108109255392525,0.286412574606065,10.784241393353222,nan,0.0,5.392120696676611,9.997532801828658e-05,391.1543877999975,0.3947175999819592,385.44090625,5.243184700000711,0.7645742947641867,16.923470497131348,0.3766050338745117,20.33203125,68.0,99.0,2850.0,306.06,23401.0,32607.0
4,0.3422492742538452,0.33091199881321676,0.8358682289475067,0.6643564168741438,0.5268835602864972,0.6757027353693825,8.88638964777632,12.996773417200169,12.21780963209614,11.36699089902421,9.995614150494293e-05,390.98138149999795,0.36709809997773846,385.55234375,4.765929499997583,0.7644082365632107,16.923470497131348,0.3766050338745117,20.33203125,68.0,100.0,2850.0,295.52,23401.0,32607.0
5,0.33120831847190857,0.3282104698387352,0.8367623074792875,0.6481280470125383,0.5236917789177127,0.6695273778031794,8.900974038276281,12.449902940793828,10.76914270181829,10.706673226962799,9.99314767377287e-05,390.08929270000226,0.4050864000018919,385.5678125,4.075038700000732,0.7643023664115568,16.923470497131348,0.3766050338745117,20.33203125,68.0,100.0,2850.0,304.21,23415.0,32607.0
6,0.3254898488521576,0.34068592899554484,0.7793978964331292,0.5808215177848088,0.48498986079724293,0.6150697583383936,9.354986654965316,11.418823027785471,10.576540627007596,10.450116769919461,9.990133642141359e-05,389.9117076000002,0.3362587999654352,385.51925,3.9648462000004656,0.7645348926531289,16.923470497131348,0.3766050338745117,20.33203125,70.0,100.0,2850.0,307.54,23427.0,32607.0
7,0.3151721656322479,0.2695000658969621,0.8747218299556423,0.705586456998283,0.5673953213637695,0.715901202772565,6.608679359393462,8.053339560838726,9.023660602855452,7.895226507695881,9.986572386122291e-05,390.3735904999994,0.33302540000295267,385.882375,3.806110500001523,0.7638224671892129,16.923470497131348,0.3766050338745117,20.33203125,69.0,100.0,2850.0,306.95,23427.0,32607.0
8,0.26043370366096497,0.25060915604636474,0.7971476397157063,0.6409300798478099,0.5616695378111142,0.6665824191248767,9.60539509899153,12.867008235681462,9.115216159784621,10.529206498152538,9.982464296247522e-05,389.920548099999,0.3957580000096641,385.7935,3.6874126000002434,0.7638741728025812,16.923470497131348,0.3766050338745117,20.33203125,69.0,100.0,2850.0,303.46,23440.0,32607.0
9,0.21790574491024017,0.1969252198531821,0.8725493099396642,0.7645541079417942,0.6435041533794628,0.7602025237536404,6.374972319006952,9.069905810994056,7.936904842815849,7.793927657605619,9.9778098230154e-05,390.0353217000011,0.39988639997682185,385.24421875,4.139695199999551,0.764953997897296,16.923470497131348,0.3766050338745117,20.33203125,69.0,100.0,2850.0,303.89,23352.0,32607.0
10,0.19387371838092804,0.2250075904098717,0.7926863053537009,0.6462609770388122,0.6683894620783859,0.7024455814902998,6.800201415247199,7.754147464103498,5.621622744321741,6.725323874557479,9.972609476841367e-05,389.54683730000033,0.44082369996249327,385.12590625,3.9869170999991184,0.7651075082082006,16.923470497131348,0.3766050338745117,20.33203125,69.0,100.0,2850.0,301.22,23352.0,32607.0
11,0.18719178438186646,0.18542362437457652,0.8704073743240254,0.7451738630685819,0.6783302381203974,0.7646371585043349,6.082612897389117,7.583893994743554,4.862517716389733,6.176341536174134,9.966863828001983e-05,390.38075299999764,0.3280948999708926,385.18740625,4.365662600001087,0.7652091786712382,16.923470497131348,0.3766050338745117,20.33203125,70.0,100.0,2850.0,308.76,23352.0,32607.0
12,0.18674065172672272,0.1837074492831488,0.855181229291448,0.7596308822844343,0.688450039157441,0.7677540502444411,6.655742059184561,6.834537213030344,3.793491507841427,5.761256926685444,9.960573506572391e-05,390.3416634000023,0.537426000002597,385.74615625,3.9242320000012114,0.7636876469916242,16.923470497131348,0.3766050338745117,20.33203125,70.0,100.0,2850.0,306.1,23362.0,32607.0
13,0.18067018687725067,0.1746197820112512,0.8672217646318862,0.8023918625747699,0.6888669154651036,0.7861601808905866,5.992423317621414,6.8419918027175095,4.939850539777586,5.924755220038837,9.95373920235722e-05,389.82843649999995,0.39759459996639634,385.15725,3.8724823000011384,0.7651310938812821,16.923470497131348,0.3766050338745117,20.33203125,69.0,99.0,2850.0,305.52,23362.0,32607.0
14,0.1769343912601471,0.1834524098683048,0.8704230511668914,0.7989867092261307,0.670341838260823,0.7799171995512818,8.399651416262637,8.638693974672227,7.541792481974355,8.19337929096974,9.946361664814943e-05,389.7976624999974,0.3435769999778131,385.24121875,4.096448799999052,0.765071660634889,16.923470497131348,0.3778257369995117,20.330078125,70.0,99.0,2850.0,313.8,23371.0,32607.0
15,0.17458263039588928,0.21172811795730848,0.801870029536166,0.6522735911851694,0.6315378081470815,0.695227142956139,7.54721165353583,9.335303848230971,5.372106718972339,7.418207406913047,9.93844170297569e-05,389.9908686999988,0.3652959999999439,385.56253125,3.7838529000000563,0.764391627579895,16.923470497131348,0.3766050338745117,20.33203125,69.0,99.0,2850.0,284.3,23401.0,32607.0
16,0.1704590767621994,0.1856267582121733,0.868788681336064,0.725673945434988,0.6748604094380363,0.756441012069696,5.85456814775617,8.822026266551669,4.539187689001386,6.405260701103074,9.929980185352526e-05,390.1440435000004,0.47169110002869274,385.88875,3.7602535000005446,0.7635357262769676,16.923470497131348,0.3766050338745117,20.33203125,68.0,99.0,2850.0,283.03,23401.0,32607.0
17,0.16819322109222412,0.20122997935962034,0.8511815103482904,0.7414624318757437,0.6316183709279317,0.7414207710506554,5.987346759280632,9.355556508810727,8.470989679985955,7.937964316025771,9.920978039846208e-05,389.7492628,0.33923569996113656,385.11575,4.178915399999823,0.7653293145613339,16.923470497131348,0.3766050338745117,20.33203125,70.0,98.0,2850.0,295.4,23401.0,32607.0
