epoch,train_loss,val_loss,dice_WT,dice_TC,dice_ET,dice_mean,hd95_WT,hd95_TC,hd95_ET,hd95_mean,learning_rate,epoch_time_s,data_wait_s,gpu_step_s,validation_s,samples_per_s,peak_vram_gb,gpu_allocated_gb,gpu_reserved_gb,gpu_temp_c,gpu_util_pct,gpu_sm_clock_mhz,gpu_power_w,gpu_mem_used_mb,gpu_mem_total_mb
1,0.3350142240524292,0.2834323431188996,0.8229626062754039,0.632335419213334,0.47445640209423623,0.6432514758609913,18.47998265665308,26.133938086881614,24.076193669917505,22.896704804484063,9.999725846827562e-05,426.4191168,2.213539900000171,411.461875,11.505864599999995,0.7131194878267344,27.864917278289795,0.39226436614990234,21.2734375,67.0,100.0,2850.0,290.15,24195.0,32607.0
2,0.22401055693626404,0.21186455097552892,0.8628668317923675,0.7360218284374822,0.6204351160076673,0.7397745920791724,10.666700870320586,11.880435506633233,9.039146857665433,10.528761078206417,9.998903417374228e-05,399.97245339999995,0.36463249999860636,395.6081875,3.735644199999797,0.7450006290835847,27.864917278289795,0.39214229583740234,21.484375,67.0,100.0,2850.0,309.95,24411.0,32607.0
3,0.19919951260089874,0.19809503651954033,0.8715758371997524,0.7304718896709534,0.6527195830744814,0.7515891033150623,12.066338640235825,14.037442407236684,10.501138862972082,12.201639970148198,9.997532801828658e-05,399.66528419999986,0.40619440000091345,395.255375,3.7729905000001054,0.7455866902801587,27.864917278289795,0.39214229583740234,21.4921875,68.0,93.0,2850.0,297.31,24466.0,32607.0
4,0.195169597864151,0.20467270991286715,0.8756690814688399,0.754464737091824,0.6470692246764216,0.7590676810790286,7.485302800416666,10.835276966224926,9.073019033100334,9.131199599913975,9.995614150494293e-05,400.66371430000004,0.36408100000062404,394.641625,4.976643899999999,0.7468246547304295,27.864917278289795,0.39214229583740234,21.482421875,68.0,100.0,2850.0,301.29,24475.0,32607.0
5,0.18592247366905212,0.1916038856111668,0.8534326140542288,0.7395287275188541,0.6538214567598941,0.7489275994443257,10.71331854744173,12.172352173046365,8.775012278365596,10.553560999617895,9.99314767377287e-05,398.3902684000002,0.34417429999962224,394.29140625,3.6718943999999283,0.7475250954028562,27.864917278289795,0.39214229583740234,21.484375,68.0,100.0,2850.0,300.87,24477.0,32607.0
6,0.18062962591648102,0.18522334702917048,0.8705664438170355,0.7567523754403261,0.6790557885583205,0.7687915359385608,8.83366359826744,11.2674875351472,8.74956043466557,9.616903856026736,9.990133642141359e-05,400.3729751999999,0.4681216999965727,395.2901875,4.315974799999822,0.7454044378659442,27.864917278289795,0.39214229583740234,21.4921875,67.0,100.0,2850.0,296.03,24498.0,32607.0
7,0.1735822707414627,0.17525933562098323,0.8826762051195711,0.7701090723553083,0.6850998243053862,0.7792950339267551,9.154360694693999,11.455214051751263,9.00222266261744,9.870599136354235,9.986572386122291e-05,399.01000999999997,0.4711345999990044,394.4999375,3.587541799999599,0.7468901416793171,27.864917278289795,0.39214229583740234,21.484375,68.0,100.0,2850.0,304.25,24395.0,32607.0
8,0.1727137714624405,0.183669421117048,0.858840552552039,0.733661985128017,0.6840298461951182,0.7588441279583913,6.529510608220707,6.676427045875614,4.459937806743952,5.888625153613424,9.982464296247522e-05,399.81861279999976,0.7183674000016254,395.514,3.613969999999881,0.7445126250935319,27.864917278289795,0.39214229583740234,21.4921875,67.0,100.0,2850.0,296.79,24403.0,32607.0
9,0.17114803194999695,0.19582757202757373,0.8630832739936096,0.7435356151602119,0.6555938138193296,0.7540709009910503,9.250627386246942,11.40166577587401,7.466273700422099,9.372855620847684,9.9778098230154e-05,400.41017680000004,0.3209827000009682,394.757375,5.216725499999939,0.7466873197443162,27.864917278289795,0.39214229583740234,21.482421875,67.0,96.0,2850.0,280.87,24421.0,32607.0
10,0.16772450506687164,0.19405535779692032,0.8794677241428478,0.7346138854762856,0.6548075296134543,0.756296379744196,10.951577439065224,12.355796783889755,8.106736571361882,10.471370264772286,9.972609476841367e-05,400.3504372000002,0.33941659999436524,395.33871875,4.263661500000126,0.7455554746260108,27.864917278289795,0.39214229583740234,21.484375,67.0,100.0,2850.0,297.7,24423.0,32607.0
11,0.1628434807062149,0.18440481678054138,0.8665730872827956,0.739566981256946,0.6964331728471506,0.7675244137956306,7.601045937708918,10.385436267450967,7.877930399121982,8.621470868093956,9.966863828001983e-05,399.46289780000006,0.5790567000003648,395.250125,3.6201591999997618,0.7452709745477558,27.864917278289795,0.39214229583740234,21.4921875,68.0,100.0,2850.0,292.06,24431.0,32607.0
12,0.16229650378227234,0.19280251558568026,0.8727069432671005,0.7510997592874282,0.6689766015678431,0.764261101374124,11.189744394367823,14.331563260400657,9.155193835723187,11.55883383016389,9.960573506572391e-05,399.96612559999994,0.3112440000058996,395.12578125,4.412564199999906,0.746010062698335,27.864917278289795,0.39214229583740234,21.482421875,68.0,99.0,2850.0,309.98,24421.0,32607.0
13,0.16112641990184784,0.17717118420310923,0.8696734985947135,0.7407090003519219,0.7019686095085502,0.7707837028183953,8.547015573485416,11.650961336095907,4.563785810282047,8.253920906621124,9.95373920235722e-05,398.3619496000001,0.4186455999915779,394.3864375,3.5588864000001195,0.7472041587805137,27.864917278289795,0.39214229583740234,21.484375,68.0,100.0,2850.0,305.24,24423.0,32607.0
14,0.15951894223690033,0.17421347577426885,0.8706027946114889,0.7565293744059053,0.7289191495965834,0.7853504395379926,6.14286438557924,7.134236871895144,3.965258117365432,5.747453124946606,9.946361664814943e-05,399.3993551000003,0.6593544999905134,395.129125,3.4861483000004228,0.7453476169207373,27.864917278289795,0.39214229583740234,21.4921875,68.0,100.0,2850.0,294.65,24431.0,32607.0
15,0.15755027532577515,0.1799276990664972,0.8797623072121594,0.7406995564219419,0.6899981783227549,0.770153347318952,10.137901639739868,12.127815718294707,8.139957609265355,10.135224989099976,9.93844170297569e-05,401.34219420000045,0.330084900001566,395.02659375,5.922918100000061,0.746161671044276,27.864917278289795,0.39214229583740234,21.482421875,68.0,100.0,2850.0,309.47,24421.0,32607.0
16,0.15424488484859467,0.1760732147943329,0.8765385489364277,0.7465434852485052,0.7286653874171338,0.7839158072006889,6.094185402410529,11.699101182341108,7.3883679462876914,8.393884843679777,9.929980185352526e-05,398.9886998000002,0.4372203999873818,395.158,3.4068537000002834,0.7457117396457033,27.864917278289795,0.39214229583740234,21.484375,68.0,100.0,2850.0,303.57,24423.0,32607.0
17,0.15278032422065735,0.16313376660282547,0.8717464820916937,0.8211394234560495,0.7090714990889773,0.8006524682122401,6.434439089544648,6.648698346363672,5.826918811320285,6.303352082409535,9.920978039846208e-05,399.3475781999996,0.3738835000067411,395.12984375,3.5790875000002416,0.7458842475421829,27.864917278289795,0.39214229583740234,21.4921875,69.0,100.0,2850.0,305.02,24431.0,32607.0
18,0.1533949226140976,0.17521785783606605,0.8725062172255806,0.7574480125342049,0.7545926587325631,0.7948489628307828,6.7600999046590635,7.450324756859087,4.380070293749204,6.196831651755784,9.911436253643444e-05,401.06629239999984,0.4078852999937226,394.84009375,5.7971983999996155,0.7463668775968273,27.864917278289795,0.39214229583740234,21.482421875,68.0,100.0,2850.0,293.74,24421.0,32607.0
19,0.15018117427825928,0.18118837143521052,0.8710933939988897,0.7735558421804156,0.681352539056841,0.7753339250787153,10.21791360375102,12.468948894679695,8.624459991939371,10.437107496790029,9.901355873108609e-05,399.32941409999967,0.4359042999922167,395.16065625,3.6913715000000593,0.7457092134215367,27.864917278289795,0.39214229583740234,21.484375,68.0,100.0,2850.0,309.2,24423.0,32607.0
20,0.15102823078632355,0.17770432675811085,0.8772325902530014,0.7344924344201755,0.6976636718418635,0.7697962321716801,6.224035501035039,12.039626404358607,5.50882824384712,7.924163383080256,9.890738003669028e-05,398.9742814000001,0.31423149999045563,394.99821875,3.5788640000009764,0.7462451532033607,27.864917278289795,0.39214229583740234,21.4921875,69.0,99.0,2850.0,316.61,24431.0,32607.0
