epoch,train_loss,val_loss,dice_WT,dice_TC,dice_ET,dice_mean,hd95_WT,hd95_TC,hd95_ET,hd95_mean,learning_rate,epoch_time_s,data_wait_s,gpu_step_s,validation_s,samples_per_s,peak_vram_gb,gpu_allocated_gb,gpu_reserved_gb,gpu_temp_c,gpu_util_pct,gpu_sm_clock_mhz,gpu_power_w,gpu_mem_used_mb,gpu_mem_total_mb
1,0.33887550234794617,0.30961010303046255,0.7931110730042329,0.6009285047489218,0.44073362433631064,0.6115910673631552,21.33324007282581,28.63216280274569,23.778577647406195,24.581326840992563,9.999725846827562e-05,407.35315419999995,3.599192900000318,392.6263125,10.757674099999974,0.7445255188764024,18.17910861968994,0.39360713958740234,21.212890625,57.0,0.0,2865.0,241.38,24003.0,32607.0
2,0.223191499710083,0.21416131266065547,0.8449944781290518,0.7328973102685431,0.6361795407322098,0.7380237763766017,9.509422429760582,10.148803602537761,6.751239296628902,8.803155109642416,9.998903417374228e-05,396.688751,0.31878299999959836,390.0148125,6.0416746999999305,0.7557637964062981,18.17910861968994,0.39433956146240234,21.490234375,61.0,99.0,2865.0,278.43,24090.0,32607.0
3,0.19883638620376587,0.19051004462950938,0.8552609573344927,0.766952104290098,0.665576921701083,0.7625966611085578,10.6410027456605,12.174619768888737,9.691127595371492,10.835583369973577,9.997532801828658e-05,394.4990279,0.3657484000007116,390.25103125,3.6364571999999953,0.7552158928357482,18.17910861968994,0.39281368255615234,21.5,61.0,100.0,2865.0,279.66,24130.0,32607.0
4,0.18861882388591766,0.19528865492021716,0.865426699857454,0.7435200603804741,0.6723358028255352,0.7604275210211545,6.654307391141117,8.041024534305203,6.599982951172936,7.098438292206418,9.995614150494293e-05,394.3471858999999,0.3497777000015958,390.4115625,3.497191199999861,0.7549365038235653,18.17910861968994,0.39220333099365234,21.4921875,62.0,100.0,2857.0,290.91,24122.0,32607.0
5,0.18056520819664001,0.19071901841340838,0.8444303370969063,0.7164304223518491,0.6656020448598615,0.7421542681028722,9.614874590316226,12.140065353731565,8.22539727708886,9.993445740378883,9.99314767377287e-05,396.91398349999986,0.4063680000003842,390.4895625,6.0007949000000735,0.754676569854952,18.17910861968994,0.39281368255615234,21.5,63.0,99.0,2850.0,306.74,24077.0,32607.0
6,0.1743045598268509,0.18384136581743085,0.8689353135791985,0.7365226442636231,0.6808158561553626,0.762091271332728,8.919499227596082,11.088301320296997,8.301896095834735,9.436565547909272,9.990133642141359e-05,394.8949103,0.3415160999966247,390.82421875,3.611753800000315,0.7541560359654865,18.17910861968994,0.39281368255615234,21.5,62.0,99.0,2857.0,300.07,24090.0,32607.0
7,0.17033973336219788,0.18046451088141752,0.8579778518225696,0.7492517536780495,0.685670494500302,0.7643000333336404,12.697346318456809,13.644342719898802,10.093550457658091,12.145079832004567,9.986572386122291e-05,397.3946010999998,0.37294120000524345,390.8725,5.609520999999859,0.7540023957728252,18.17910861968994,0.39281368255615234,21.5,62.0,100.0,2850.0,297.1,24090.0,32607.0
8,0.16604088246822357,0.17783406860119588,0.8581172920720345,0.7374190452810744,0.6756239059637772,0.7570534144389619,6.70102138160278,7.3410925239562586,5.749182943570813,6.59709894970995,9.982464296247522e-05,395.24194220000027,0.6194504000036432,391.09021875,3.673128800000086,0.7531088028542663,18.17910861968994,0.39281368255615234,21.5,62.0,100.0,2857.0,285.24,24103.0,32607.0
9,0.16571801900863647,0.1830228603369481,0.8767928610135118,0.7636825807568858,0.6605805640415562,0.7670186686039845,5.3661653617414755,6.497786690174011,3.7539764957344195,5.205976182549969,9.9778098230154e-05,395.6287966,0.3405450000009296,391.42234375,3.5742792999999438,0.7530064956924772,18.17910861968994,0.39281368255615234,21.5,62.0,100.0,2850.0,293.72,24103.0,32607.0
10,0.16295939683914185,0.18508696692014062,0.8479460828365855,0.731834513342014,0.6868521726457719,0.7555442562747904,10.312873005299847,9.404512513573065,7.319651270705644,9.012345596526186,9.972609476841367e-05,396.88909090000016,0.5243414999977176,390.94275,5.497766800000136,0.7535754764714411,18.17910861968994,0.39281368255615234,21.5,63.0,96.0,2850.0,291.24,24103.0,32607.0
11,0.15836018323898315,0.17892174382467527,0.8765720656594714,0.7520360767144421,0.691103225964623,0.7732371227795122,9.761997872048045,12.61323520829867,7.9810641022467435,10.118765727531153,9.966863828001983e-05,395.0656246000003,0.4917738999897665,390.82978125,3.6079524999995556,0.7538557386314417,18.17910861968994,0.39281368255615234,21.5,63.0,99.0,2850.0,297.36,24116.0,32607.0
12,0.1562618911266327,0.17968594947376768,0.8667889463093179,0.7341436920985391,0.721017764855112,0.773983467754323,8.574717865495614,10.18385329755545,7.518286669890221,8.75895261098043,9.960573506572391e-05,398.3344318999998,0.4690595000056419,391.56446875,6.093373700000484,0.7524866592835756,18.17910861968994,0.39281368255615234,21.5,63.0,99.0,2850.0,297.64,24116.0,32607.0
13,0.15353992581367493,0.17219640153485374,0.8776929120917852,0.7487036123205274,0.7083585318039327,0.7782516854054151,9.320465543195725,11.518739776936588,6.74960814375835,9.196271154630223,9.95373920235722e-05,395.1407412999997,0.4395390000045154,390.906625,3.595748100000492,0.7538083342500748,18.17910861968994,0.39281368255615234,21.5,63.0,99.0,2850.0,280.56,24116.0,32607.0
14,0.15357092022895813,0.16415375028107618,0.8738244238334734,0.7779993074918895,0.7134680282915863,0.788430586538983,8.041818088200358,11.522454581380174,7.153641673283784,8.905971447621438,9.946361664814943e-05,395.9458030000005,0.7377382000076977,391.31640625,3.541587900000195,0.7524470897096117,18.17910861968994,0.39433956146240234,21.49609375,63.0,100.0,2850.0,299.34,24112.0,32607.0
15,0.15173065662384033,0.16732720577636281,0.8943372771546647,0.7619293040347451,0.7053665499354538,0.7872110437082879,6.220624457995517,9.010845962836122,4.608065337470559,6.613178586100733,9.93844170297569e-05,395.73329550000017,0.5034847000069931,391.38059375,3.7260493000003407,0.7527736293007714,18.17910861968994,0.39281368255615234,21.494140625,60.0,0.0,2850.0,248.99,24110.0,32607.0
16,0.15146619081497192,0.16871287935488932,0.8781612757248196,0.7480836514427669,0.6990839355964926,0.7751096209213597,5.673797414124548,6.903116999842477,4.158927074881405,5.578613829616143,9.929980185352526e-05,395.30153359999986,0.5962335000067469,391.3228125,3.540177599999879,0.7527064658143583,18.17910861968994,0.39281368255615234,21.494140625,63.0,100.0,2850.0,290.95,24110.0,32607.0
