Model,Batch Size,Training time (s),Trainable Params,GFLOPs,Dice/s,Dice/M,Inference (ms),Peak VRAM (GB)
hvu,64,15097.897,36514564,17873.1926,5.249796,0.023392,162.7044,20.3433
deeplabv3plus2d,272,4057.472,40350436,4724.4338,7.739043,0.020242,105.5372,21.3033
unet3d,1,25849.486,22580964,4725.5086,22.092113,0.035782,36.5741,14.51
diff_unet,1,16975.82,10051332,147407.2032,0.253677,0.080867,3204.1423,15.2637
deepensemble,1,136711.439,115777540,701633.9866,0.037688,0.00749,23008.8174,21.4742
hybridattunet_no_attention,1,33017.379,6195556,589.0732,19.735646,0.132792,41.687,23.7396
unet2d,64,11750.988,7763428,3735.1895,9.972521,0.108881,84.7618,10.8864
hybridattunet_no_residual,1,16793.323,13142496,571.9814,14.021056,0.055685,52.1954,16.9235
hybridattunet_no_attention_no_residual,1,18266.542,5239140,478.4778,21.357632,0.141561,34.7256,12.6549
hybridatt_lowres,1,27621.244,14098912,682.5768,14.04558,0.05933,59.5553,27.8649
hybridatt_ref_noaug,1,45589.029,14098912,682.5768,14.172637,0.059399,59.0899,18.1809
hybridattunet,1,28930.597,14098912,682.5768,13.921413,0.058923,59.6738,18.1791
